state,action,reward,next_state,done
"3.1090896129608154,-1.2721861600875854,1.0,3.240349769592285,1.7481778860092163,2.0,7.016377925872803,-0.8512246012687683,1.0,7.408802032470703,2.2415664196014404,2.0","1.0,0.0",0.18917156516234623,"2.90832257270813,-1.2706012725830078,1.0,3.0379295349121094,1.7498350143432617,2.0,6.8153886795043945,-0.8474956750869751,1.0,7.206120491027832,2.2455108165740967,2.0",0
"2.90832257270813,-1.2706012725830078,1.0,3.0379295349121094,1.7498350143432617,2.0,6.8153886795043945,-0.8474956750869751,1.0,7.206120491027832,2.2455108165740967,2.0","1.0,0.0",0.1749045111944625,"2.7071547508239746,-1.270646333694458,1.0,2.836834192276001,1.7497855424880981,2.0,6.614227294921875,-0.847629725933075,1.0,7.005033493041992,2.245366334915161,2.0",0
"2.7071547508239746,-1.270646333694458,1.0,2.836834192276001,1.7497855424880981,2.0,6.614227294921875,-0.847629725933075,1.0,7.005033493041992,2.245366334915161,2.0","1.0,0.0",0.16319266222869144,"2.506145477294922,-1.2701916694641113,1.0,2.6353647708892822,1.7502269744873047,2.0,6.413148403167725,-0.846548855304718,1.0,6.803483009338379,2.2464749813079834,2.0",0
"2.506145477294922,-1.2701916694641113,1.0,2.6353647708892822,1.7502269744873047,2.0,6.413148403167725,-0.846548855304718,1.0,6.803483009338379,2.2464749813079834,2.0","1.0,0.0",0.1544030416760398,"2.30531644821167,-1.2689282894134521,1.0,2.4328908920288086,1.7515945434570312,2.0,6.21209716796875,-0.8431938886642456,1.0,6.600747585296631,2.250074625015259,2.0",0
"2.30531644821167,-1.2689282894134521,1.0,2.4328908920288086,1.7515945434570312,2.0,6.21209716796875,-0.8431938886642456,1.0,6.600747585296631,2.250074625015259,2.0","1.0,0.0",0.146176841921422,"2.1042838096618652,-1.2685840129852295,1.0,2.231462240219116,1.7519506216049194,2.0,6.01099967956543,-0.8423221707344055,1.0,6.39924430847168,2.2509937286376953,2.0",0
"2.1042838096618652,-1.2685840129852295,1.0,2.231462240219116,1.7519506216049194,2.0,6.01099967956543,-0.8423221707344055,1.0,6.39924430847168,2.2509937286376953,2.0","1.0,0.0",0.13910332209351717,"1.9021966457366943,-1.269610047340393,1.0,2.0312881469726562,1.7508342266082764,2.0,5.80919075012207,-0.8458393216133118,1.0,6.199394702911377,2.2472193241119385,2.0",0
"1.9021966457366943,-1.269610047340393,1.0,2.0312881469726562,1.7508342266082764,2.0,5.80919075012207,-0.8458393216133118,1.0,6.199394702911377,2.2472193241119385,2.0","1.0,0.0",0.13345943688114925,"1.7019340991973877,-1.2678141593933105,1.0,1.8279937505722046,1.7527720928192139,2.0,5.6085004806518555,-0.8401212096214294,1.0,5.995599269866943,2.2533416748046875,2.0",0
"1.7019340991973877,-1.2678141593933105,1.0,1.8279937505722046,1.7527720928192139,2.0,5.6085004806518555,-0.8401212096214294,1.0,5.995599269866943,2.2533416748046875,2.0","1.0,0.0",0.12792491794452943,"1.5006752014160156,-1.2677333354949951,1.0,5.407221794128418,-0.8398697376251221,1.0,5.794192314147949,2.2536046504974365,2.0,8.912952423095703,-0.1947912871837616,1.0",0
"1.5006752014160156,-1.2677333354949951,1.0,5.407221794128418,-0.8398697376251221,1.0,5.794192314147949,2.2536046504974365,2.0,8.912952423095703,-0.1947912871837616,1.0","1.0,0.0",0.12355568557725327,"1.298325777053833,-1.2687032222747803,1.0,5.205216407775879,-0.844163715839386,1.0,5.594783306121826,2.2489726543426514,2.0,8.711474418640137,-0.20206902921199799,1.0",0
"1.298325777053833,-1.2687032222747803,1.0,5.205216407775879,-0.844163715839386,1.0,5.594783306121826,2.2489726543426514,2.0,8.711474418640137,-0.20206902921199799,1.0","1.0,0.0",0.11903833848800183,"5.004522323608398,-0.839409589767456,1.0,5.391322135925293,2.2540903091430664,2.0,8.510218620300293,-0.1941438466310501,1.0,8.972192764282227,3.0159175395965576,2.0",0
