state,action,reward,next_state,done
"2.303908109664917,-1.2703101634979248,1.0,2.4333841800689697,1.750131368637085,2.0,6.210956573486328,-0.8470349907875061,1.0,6.601553916931152,2.245988130569458,2.0","1.0,0.0",0.14602090351224506,"2.1027166843414307,-1.2703882455825806,1.0,2.2323246002197266,1.7500475645065308,2.0,6.009782314300537,-0.8472820520401001,1.0,6.400515079498291,2.2457239627838135,2.0",0
"2.1027166843414307,-1.2703882455825806,1.0,2.2323246002197266,1.7500475645065308,2.0,6.009782314300537,-0.8472820520401001,1.0,6.400515079498291,2.2457239627838135,2.0","1.0,0.0",0.13940042282348086,"1.8990986347198486,-1.2729700803756714,1.0,2.0332415103912354,1.7472585439682007,2.0,5.806793689727783,-0.8557239770889282,1.0,6.202170372009277,2.236682891845703,2.0",0
"1.8990986347198486,-1.2729700803756714,1.0,2.0332415103912354,1.7472585439682007,2.0,5.806793689727783,-0.8557239770889282,1.0,6.202170372009277,2.236682891845703,2.0","1.0,0.0",0.13348482299490483,"1.6987229585647583,-1.2714111804962158,1.0,1.8301913738250732,1.7489447593688965,2.0,5.606049060821533,-0.8507139682769775,1.0,5.998687267303467,2.242050886154175,2.0",0
"1.6987229585647583,-1.2714111804962158,1.0,1.8301913738250732,1.7489447593688965,2.0,5.606049060821533,-0.8507139682769775,1.0,5.998687267303467,2.242050886154175,2.0","1.0,0.0",0.12777046520958768,"1.4978458881378174,-1.2712466716766357,1.0,5.40513277053833,-0.8501850366592407,1.0,5.797483444213867,2.24261474609375,2.0,8.911981582641602,-0.21121056377887726,1.0",0
"1.4978458881378174,-1.2712466716766357,1.0,5.40513277053833,-0.8501850366592407,1.0,5.797483444213867,2.24261474609375,2.0,8.911981582641602,-0.21121056377887726,1.0","1.0,0.0",0.12375696797245794,"1.293872356414795,-1.273414134979248,1.0,5.201888561248779,-0.8593591451644897,1.0,5.59975528717041,2.232722759246826,2.0,8.709857940673828,-0.22667457163333893,1.0",0
"1.293872356414795,-1.273414134979248,1.0,5.201888561248779,-0.8593591451644897,1.0,5.59975528717041,2.232722759246826,2.0,8.709857940673828,-0.22667457163333893,1.0","1.0,0.0",0.11911050966128478,"5.000964641571045,-0.8553760647773743,1.0,5.396456718444824,2.237025260925293,2.0,8.508460998535156,-0.21996496617794037,1.0,8.979454040527344,2.988785982131958,2.0",0
"5.000964641571045,-0.8553760647773743,1.0,5.396456718444824,2.237025260925293,2.0,8.508460998535156,-0.21996496617794037,1.0,8.979454040527344,2.988785982131958,2.0","1.0,0.0",0.11517571668513549,"4.799474716186523,-0.8576384782791138,1.0,5.1965179443359375,2.2345635890960693,2.0,8.307289123535156,-0.22398701310157776,1.0,8.779891967773438,2.9845268726348877,2.0",0
"4.799474716186523,-0.8576384782791138,1.0,5.1965179443359375,2.2345635890960693,2.0,8.307289123535156,-0.22398701310157776,1.0,8.779891967773438,2.9845268726348877,2.0","1.0,0.0",0.11201789707217236,"4.597289562225342,-0.8609858155250549,1.0,4.996643543243408,2.230919361114502,2.0,8.105576515197754,-0.2299560010433197,1.0,8.58057689666748,2.9782042503356934,2.0",0
"4.597289562225342,-0.8609858155250549,1.0,4.996643543243408,2.230919361114502,2.0,8.105576515197754,-0.2299560010433197,1.0,8.58057689666748,2.9782042503356934,2.0","1.0,0.0",0.10879810952615099,"4.395717620849609,-0.8611029386520386,1.0,4.795156955718994,2.2307910919189453,2.0,7.904022216796875,-0.2301696240901947,1.0,8.379111289978027,2.9779775142669678,2.0",0
"4.395717620849609,-0.8611029386520386,1.0,4.795156955718994,2.2307910919189453,2.0,7.904022216796875,-0.2301696240901947,1.0,8.379111289978027,2.9779775142669678,2.0","1.0,0.0",0.10577552391803202,"4.192730903625488,-0.8685776591300964,1.0,4.597893714904785,2.2225661277770996,2.0,7.702195644378662,-0.24413414299488068,1.0,8.183222770690918,2.963122606277466,2.0",0
